,model,environment,best_score,best_solution,n_iterations,record,seed,test
132,neuromodulated_hb,CartPole-v1,-5000,"[ 4.52542426 -0.86708959  4.5959254  ... -1.79240089 -1.40820621
  3.30283635]",13,[-1515. -2541. -2541. ...     0.     0.     0.],12,-43491
133,neuromodulated_hb,CartPole-v1,-5000,"[-3.5729776  -5.07551814  3.96457272 ... -2.20882617 -0.47221319
  4.17870262]",22,[-1507. -1753. -2139. ...     0.     0.     0.],13,-37325
134,neuromodulated_hb,CartPole-v1,-5000,"[-1.21579747  3.00912803  2.78800763 ... -3.13659583  0.97227309
  9.23697132]",30,[-1005. -1178. -1393. ...     0.     0.     0.],14,-42364
135,neuromodulated_hb,CartPole-v1,-5000,"[ 2.26798069  1.22547212  0.21420684 ... -2.21264279 -1.91037167
  3.97118519]",15,[-1693. -1693. -1693. ...     0.     0.     0.],15,-47051
136,neuromodulated_hb,CartPole-v1,-5000,"[-5.1203287  -0.64051535  4.6876549  ... -2.24948498 13.04359223
  1.22573709]",21,[-1204. -1606. -1606. ...     0.     0.     0.],16,-30118
137,neuromodulated_hb,CartPole-v1,-5000,"[ 3.18227968  2.41393565  6.64959231 ... -3.6825984  -1.6256571
  1.42629964]",15,[-1146. -2370. -2370. ...     0.     0.     0.],17,-40256
138,neuromodulated_hb,CartPole-v1,-5000,"[ 1.42849958  5.28556611 -3.77650777 ... -4.78249704  0.7171829
 -2.43981016]",35,[-1652. -2953. -2953. ...     0.     0.     0.],18,-34644
139,neuromodulated_hb,CartPole-v1,-5000,"[ 2.94128781  2.09397884 -1.1800856  ...  5.09981021  1.39952666
  3.11727797]",14,[-1768. -1768. -1876. ...     0.     0.     0.],19,-38599
140,neuromodulated_hb,CartPole-v1,-5000,"[-0.29071017 -1.48331391 -6.20686079 ... -4.06641158 -6.37135056
  1.51632285]",28,[-1007. -1300. -1300. ...     0.     0.     0.],20,-33494
141,neuromodulated_hb,CartPole-v1,-5000,"[-0.92046417  4.94406679  1.08041934 ... -0.6364483  -3.72489467
  1.46591649]",27,[-1349. -1707. -2209. ...     0.     0.     0.],21,-39369
